,2018,2019,2020,2021,2022,2023
종로구,75.4,75.7,74,75.9,73.1,76.5
중구,71.1,70.8,75.4,73.6,73.4,76.9
용산구,71.7,74,73.6,71.9,75.6,75.2
성동구,75.9,70.8,69.6,73.4,74.8,75.9
광진구,67.3,70.2,71.6,72.4,70.9,72.2
동대문구,69.7,69.1,66.5,71.3,71.1,69.4
중랑구,62.2,64.1,66.7,66.8,66.6,69.5
성북구,68.8,72.4,69.1,71.9,72.8,74.8
강북구,63.9,64.3,66.7,65.9,67.9,67.6
도봉구,65.8,66.8,66.8,68.3,69.3,71.9
노원구,70.8,72,67.9,71,69.3,70.1
은평구,65.7,65.5,66.3,70.4,69.1,69.7
서대문구,70.5,69.4,72.8,71.6,69.6,72.6
마포구,71,69.6,70.6,70.7,69.8,74.6
양천구,66.1,67.4,64.8,69.2,69.2,73.2
강서구,63.9,66.1,67.5,69.3,73.4,72.5
구로구,66.7,64.9,67.8,68.7,71.3,68
금천구,65,66.2,65.8,68.8,67.3,71.9
영등포구,69.1,66.4,68.1,70,74,75.4
동작구,69.4,71.5,70,71.7,77,72.8
관악구,65.6,64.2,65.5,64.4,66.1,70.3
서초구,73,69.2,70.9,71.5,73.4,74.4
강남구,67.2,68.7,68.3,68.7,70.1,72.6
송파구,67.4,67.6,67.4,71.3,71.2,71.4
강동구,67.4,65.9,68.1,67.5,72,68.6
