구,한식,일식,양식,중식,카페
중구,4542,657,975,425,1513
송파구,6772,805,757,407,793
강동구,4139,374,372,280,247
종로구,4514,465,1535,259,2002
용산구,2701,484,1564,209,2083
구로구,3684,312,238,647,246
강서구,6476,756,1081,464,266
강남구,10592,2046,5348,784,1124
중랑구,3392,256,174,188,743
성동구,3328,348,581,195,1544
동대문구,4180,309,373,317,1237
성북구,3230,313,393,263,1605
도봉구,2337,240,194,156,337
은평구,4498,381,314,236,253
마포구,5376,1161,1308,490,1385
관악구,4638,510,809,378,308
서초구,5416,692,1203,431,599
양천구,2804,300,232,254,296
영등포구,6166,735,710,1024,1637
동작구,2502,281,327,225,1095
광진구,3780,593,554,454,765
서대문구,3324,348,820,282,327
금천구,3171,198,202,408,138
노원구,3166,355,319,259,835
강북구,3191,232,177,175,1212
